token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
22423,TOTAL-EQ,TOTAL,,-1,1,,NSE,5
1879,ACRYSIL-EQ,ACRYSIL,,-1,1,,NSE,5
4422,INDIANCARD-EQ,INDIANCARD,,-1,1,,NSE,5
13421,EMKAY-EQ,EMKAY,,-1,1,,NSE,5
11460,JPASSOCIAT-EQ,JPASSOCIAT,,-1,1,,NSE,5
13496,PFOCUS-EQ,PFOCUS,,-1,1,,NSE,5
1424,HINDZINC-EQ,HINDZINC,,-1,1,,NSE,5
18029,MBLINFRA-EQ,MBLINFRA,,-1,1,,NSE,5
15234,AMBIKCO-EQ,AMBIKCO,,-1,1,,NSE,5
1782,KANPRPLA-EQ,KANPRPLA,,-1,1,,NSE,5
22433,HBANKETF-EQ,HBANKETF,,-1,1,,NSE,1
18562,MITTAL-EQ,MITTAL,,-1,1,,NSE,5
17477,CONTROLPR-EQ,CONTROLPR,,-1,1,,NSE,5
18504,TVVISION-EQ,TVVISION,,-1,1,,NSE,5
22428,MAXIND-EQ,MAXIND,,-1,1,,NSE,5
913,EQUITASBNK-EQ,EQUITASBNK,,-1,1,,NSE,5
25756,VIKASECO-EQ,VIKASECO,,-1,1,,NSE,5
5610,ASTRAZEN-EQ,ASTRAZEN,,-1,1,,NSE,5
29733,NIBL-EQ,NIBL,,-1,1,,NSE,5
2289,HLEGLAS-EQ,HLEGLAS,,-1,1,,NSE,5
9436,AXISCADES-EQ,AXISCADES,,-1,1,,NSE,5
4105,SILINV-EQ,SILINV,,-1,1,,NSE,5
18866,MAZDA-EQ,MAZDA,,-1,1,,NSE,5
3496,TIRUMALCHM-EQ,TIRUMALCHM,,-1,1,,NSE,5
1565,RVHL-EQ,RVHL,,-1,1,,NSE,5
5528,KOTHARIPRO-EQ,KOTHARIPRO,,-1,1,,NSE,5
1448,HLVLTD-EQ,HLVLTD,,-1,1,,NSE,5
220,IEX-EQ,IEX,,-1,1,,NSE,5
17685,GPTINFRA-EQ,GPTINFRA,,-1,1,,NSE,5
21749,CAPACITE-EQ,CAPACITE,,-1,1,,NSE,5
22377,MAXHEALTH-EQ,MAXHEALTH,,-1,1,,NSE,5
3761,RITES-EQ,RITES,,-1,1,,NSE,5
10447,MCDOWELL-N-EQ,MCDOWELL-N,,-1,1,,NSE,5
1143,NCPSESDL24-EQ,NCPSESDL24,,-1,1,,NSE,1
14466,KIRLFER-EQ,KIRLFER,,-1,1,,NSE,5
371,BATAINDIA-EQ,BATAINDIA,,-1,1,,NSE,5
13400,BHAGERIA-EQ,BHAGERIA,,-1,1,,NSE,5
13598,SELAN-EQ,SELAN,,-1,1,,NSE,5
1576,GILLETTE-EQ,GILLETTE,,-1,1,,NSE,5
11593,HDFCSENETF-EQ,HDFCSENETF,,-1,1,,NSE,1
13565,RAMANEWS-EQ,RAMANEWS,,-1,1,,NSE,5
14908,KDDL-EQ,KDDL,,-1,1,,NSE,5
22344,ICICIALPLV-EQ,ICICIALPLV,,-1,1,,NSE,1
9931,VIKASMCORP-EQ,VIKASMCORP,,-1,1,,NSE,5
154,APCOTEXIND-EQ,APCOTEXIND,,-1,1,,NSE,5
13381,KKCL-EQ,KKCL,,-1,1,,NSE,5
3703,VIPIND-EQ,VIPIND,,-1,1,,NSE,5
4179,SUNDRMBRAK-EQ,SUNDRMBRAK,,-1,1,,NSE,5
1139,GICHSGFIN-EQ,GICHSGFIN,,-1,1,,NSE,5
4299,STERTOOLS-EQ,STERTOOLS,,-1,1,,NSE,5
25136,BROOKS-EQ,BROOKS,,-1,1,,NSE,5
19,INEOSSTYRO-EQ,INEOSSTYRO,,-1,1,,NSE,5
1134,APOLLO-EQ,APOLLO,,-1,1,,NSE,5
31837,SREEL-EQ,SREEL,,-1,1,,NSE,5
17635,ZYDUSWELL-EQ,ZYDUSWELL,,-1,1,,NSE,5
9581,METROPOLIS-EQ,METROPOLIS,,-1,1,,NSE,5
16045,PRINCEPIPE-EQ,PRINCEPIPE,,-1,1,,NSE,5
3892,HATSUN-EQ,HATSUN,,-1,1,,NSE,5
30012,CEREBRAINT-EQ,CEREBRAINT,,-1,1,,NSE,5
11195,INDIGO-EQ,INDIGO,,-1,1,,NSE,5
13522,NECCLTD-EQ,NECCLTD,,-1,1,,NSE,5
11915,YESBANK-EQ,YESBANK,,-1,1,,NSE,5
24403,ASHIANA-EQ,ASHIANA,,-1,1,,NSE,5
1267,GUJALKALI-EQ,GUJALKALI,,-1,1,,NSE,5
419,BEPL-EQ,BEPL,,-1,1,,NSE,5
13101,VIMTALABS-EQ,VIMTALABS,,-1,1,,NSE,5
1200,MAESGETF-EQ,MAESGETF,,-1,1,,NSE,1
17875,GODREJPROP-EQ,GODREJPROP,,-1,1,,NSE,5
1313,HARRMALAYA-EQ,HARRMALAYA,,-1,1,,NSE,5
