token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
16672,BAJAJ-AUTO-BL,BAJAJ-AUTO,,-1,1,,NSE,5
2329,CPSEETF-BL,CPSEETF,,-1,1,,NSE,1
12895,WIPRO-BL,WIPRO,,-1,1,,NSE,5
9524,OSIAHYPER-SM,OSIAHYPER,,-1,400,,NSE,5
3001,ICICI500-EQ,ICICI500,,-1,1,,NSE,1
4430,JMCPROJECT-EQ,JMCPROJECT,,-1,1,,NSE,5
18636,IBULHSGFIN-NE,IBULHSGFIN,,-1,1,,NSE,1
10661,PONNIERODE-EQ,PONNIERODE,,-1,1,,NSE,5
15061,KOTAKPSUBK-EQ,KOTAKPSUBK,,-1,1,,NSE,1
10920,IDFCFIRSTB-NE,IDFCFIRSTB,,-1,1,,NSE,1
5267,PDSMFL-BL,PDSMFL,,-1,1,,NSE,5
21683,BRNL-EQ,BRNL,,-1,1,,NSE,5
13299,VISASTEEL-BL,VISASTEEL,,-1,1,,NSE,5
3387,SMLISUZU-EQ,SMLISUZU,,-1,1,,NSE,5
9985,BHALCHANDR-IT,BHALCHANDR,,-1,11765,,NSE,5
14490,NCLIND-EQ,NCLIND,,-1,1,,NSE,5
15316,IRB-BL,IRB,,-1,1,,NSE,5
17266,ARMANFIN-BL,ARMANFIN,,-1,1,,NSE,5
12190,METALFORGE-BL,METALFORGE,,-1,1,,NSE,5
11411,RKFORGE-EQ,RKFORGE,,-1,1,,NSE,5
20182,ASHOKA-EQ,ASHOKA,,-1,1,,NSE,5
19071,IIFL-NA,IIFL,,-1,1,,NSE,1
13870,KUANTUM-EQ,KUANTUM,,-1,1,,NSE,5
662,SIGMA-SM,SIGMA,,-1,3000,,NSE,5
12223,ATFL-BL,ATFL,,-1,1,,NSE,5
21733,RHFL-EQ,RHFL,,-1,1,,NSE,5
9121,TIPSINDLTD-BE,TIPSINDLTD,,-1,1,,NSE,5
4668,BANKBARODA-EQ,BANKBARODA,,-1,1,,NSE,5
637,CHAMBLFERT-EQ,CHAMBLFERT,,-1,1,,NSE,5
10726,INDIAMART-EQ,INDIAMART,,-1,1,,NSE,5
602,ZODIAC-SM,ZODIAC,,-1,4000,,NSE,5
7929,CADILAHC-EQ,CADILAHC,,-1,1,,NSE,5
12532,KALPATPOWR-BL,KALPATPOWR,,-1,1,,NSE,5
12187,AEGISCHEM-BL,AEGISCHEM,,-1,1,,NSE,5
12857,UPL-BL,UPL,,-1,1,,NSE,5
12694,RADICO-BL,RADICO,,-1,1,,NSE,5
16910,TOUCHWOOD-BE,TOUCHWOOD,,-1,1,,NSE,5
1964,TRENT-EQ,TRENT,,-1,1,,NSE,5
2056,HOMEFIRST-EQ,HOMEFIRST,,-1,1,,NSE,5
20537,GRAVITA-BL,GRAVITA,,-1,1,,NSE,5
4875,IBUCCREDIT-N3,IBUCCREDIT,,-1,1,,NSE,1
2726,NARMADA-SM,NARMADA,,-1,7200,,NSE,5
12698,RAJSREESUG-BL,RAJSREESUG,,-1,1,,NSE,5
14363,APOLLOPIPE-BL,APOLLOPIPE,,-1,1,,NSE,5
20988,INDIGRID-IV,INDIGRID,,-1,1701,,NSE,1
12530,KAKATCEM-BL,KAKATCEM,,-1,1,,NSE,5
2639,NETFDIVOPP-BL,NETFDIVOPP,,-1,1,,NSE,1
13800,MANALIPETC-BL,MANALIPETC,,-1,1,,NSE,5
13088,AIAENG-BL,AIAENG,,-1,1,,NSE,5
12654,PANACEABIO-BL,PANACEABIO,,-1,1,,NSE,5
14597,ALPHAGEO-EQ,ALPHAGEO,,-1,1,,NSE,5
21462,SPTL-EQ,SPTL,,-1,1,,NSE,5
12080,DELTAMAGNT-BL,DELTAMAGNT,,-1,1,,NSE,5
14659,INSECTICID-BL,INSECTICID,,-1,1,,NSE,5
16874,TATACAPHSG-NA,TATACAPHSG,,-1,1,,NSE,1
14157,MINDAIND-BL,MINDAIND,,-1,1,,NSE,5
12305,CLNINDIA-BL,CLNINDIA,,-1,1,,NSE,5
10241,CONFIPET-BL,CONFIPET,,-1,1,,NSE,5
13748,GTLINFRA-BL,GTLINFRA,,-1,1,,NSE,5
5017,TCFSL-NA,TCFSL,,-1,1,,NSE,1
11083,LIBAS-BE,LIBAS,,-1,1,,NSE,5
20936,KIRLOSENG-EQ,KIRLOSENG,,-1,1,,NSE,5
13197,GSPL-EQ,GSPL,,-1,1,,NSE,5
14831,WSI-BL,WSI,,-1,1,,NSE,5
21736,RHFL-BL,RHFL,,-1,1,,NSE,5
10653,PRABHAT-BL,PRABHAT,,-1,1,,NSE,5
745,SBIETFIT-BL,SBIETFIT,,-1,1,,NSE,1
10288,AYMSYNTEX-BL,AYMSYNTEX,,-1,1,,NSE,5
1993,IRFC-ND,IRFC,,-1,1,,NSE,1
13818,DAAWAT-BL,DAAWAT,,-1,1,,NSE,5
16789,TATACAPHSG-N3,TATACAPHSG,,-1,1,,NSE,1
12354,EPL-BL,EPL,,-1,1,,NSE,5
945,SGBJAN26-GB,SGBJAN26,,-1,1,,NSE,1
6944,GANECOS-EQ,GANECOS,,-1,1,,NSE,5
12496,ITDCEM-BL,ITDCEM,,-1,1,,NSE,5
5006,IRCON-BL,IRCON,,-1,1,,NSE,5
6401,CCHHL-BL,CCHHL,,-1,1,,NSE,5
136,ANDHRSUGAR-EQ,ANDHRSUGAR,,-1,1,,NSE,5
184,TCPLPACK-EQ,TCPLPACK,,-1,1,,NSE,5
3411,TATAELXSI-EQ,TATAELXSI,,-1,1,,NSE,5
13567,RAMANEWS-BL,RAMANEWS,,-1,1,,NSE,5
31412,MTEDUCARE-BL,MTEDUCARE,,-1,1,,NSE,5
12244,BANKBEES-BL,BANKBEES,,-1,1,,NSE,1
12780,STAR-BL,STAR,,-1,1,,NSE,5
6160,SRTRANSFIN-YQ,SRTRANSFIN,,-1,1,,NSE,1
597,IRFC-N9,IRFC,,-1,1,,NSE,1
12459,ICIL-BL,ICIL,,-1,1,,NSE,5
13007,DHANILOANS-NL,DHANILOANS,,-1,1,,NSE,1
8163,SPENCERS-EQ,SPENCERS,,-1,1,,NSE,5
3509,TNPETRO-EQ,TNPETRO,,-1,1,,NSE,5
13378,UTTAMSUGAR-BL,UTTAMSUGAR,,-1,1,,NSE,5
12292,CENTURYTEX-BL,CENTURYTEX,,-1,1,,NSE,5
13710,FIEMIND-EQ,FIEMIND,,-1,1,,NSE,5
3466,TFCILTD-EQ,TFCILTD,,-1,1,,NSE,5
13577,VOLTAMP-EQ,VOLTAMP,,-1,1,,NSE,5
6364,NATIONALUM-EQ,NATIONALUM,,-1,1,,NSE,5
2972,ORIENTELEC-EQ,ORIENTELEC,,-1,1,,NSE,5
14732,DLF-EQ,DLF,,-1,1,,NSE,5
13449,KELLTONTEC-BL,KELLTONTEC,,-1,1,,NSE,5
4926,IBUCCREDIT-NA,IBUCCREDIT,,-1,1,,NSE,1
14940,MAHINDCIE-BL,MAHINDCIE,,-1,1,,NSE,5
12177,SUDARSCHEM-BL,SUDARSCHEM,,-1,1,,NSE,5
12457,AKZOINDIA-BL,AKZOINDIA,,-1,1,,NSE,5
22367,ICICITECH-BL,ICICITECH,,-1,1,,NSE,1
958,ESCORTS-EQ,ESCORTS,,-1,1,,NSE,5
5060,SPECTRUM-SM,SPECTRUM,,-1,2000,,NSE,5
1136,KEERTI-BL,KEERTI,,-1,1,,NSE,5
540,SGBNOV25IX-GB,SGBNOV25IX,,-1,1,,NSE,1
20163,CANTABIL-BL,CANTABIL,,-1,1,,NSE,5
11154,SGBJUL27-GB,SGBJUL27,,-1,1,,NSE,1
12443,HINDUNILVR-BL,HINDUNILVR,,-1,1,,NSE,5
15042,CERA-BL,CERA,,-1,1,,NSE,5
2498,ISEC-BL,ISEC,,-1,1,,NSE,5
18011,WHIRLPOOL-EQ,WHIRLPOOL,,-1,1,,NSE,5
17438,OIL-EQ,OIL,,-1,1,,NSE,5
7362,SETFNIFBK-BL,SETFNIFBK,,-1,1,,NSE,1
11872,GRANULES-EQ,GRANULES,,-1,1,,NSE,5
